year,show,ethnicity,actors,theater,type,nonprofit
2012-2013,Chaplin,CAUCASIAN,21,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,AFRICAN AMERICAN,3,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,LATINO,2,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,ASIAN AMERICAN,0,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,OTHER,0,Ethel Barrymore Theatre,Musical,
2012-2013,Fela,CAUCASIAN,0,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,AFRICAN AMERICAN,15,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,LATINO,0,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,ASIAN AMERICAN,0,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,OTHER,0,Al Hirschfeld Theatre,Musical,
2012-2013,A Christmas Story,CAUCASIAN,28,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,AFRICAN AMERICAN,1,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,LATINO,3,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,ASIAN AMERICAN,2,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,OTHER,0,Lunt Fontanne Theatre,Musical,
2012-2013,Scandalous,CAUCASIAN,19,Neil Simon Theatre,Musical,
2012-2013,Scandalous,AFRICAN AMERICAN,3,Neil Simon Theatre,Musical,
2012-2013,Scandalous,LATINO,1,Neil Simon Theatre,Musical,
2012-2013,Scandalous,ASIAN AMERICAN,0,Neil Simon Theatre,Musical,
2012-2013,Scandalous,OTHER,0,Neil Simon Theatre,Musical,
2012-2013,Bring It On,CAUCASIAN,26,St. James Theatre,Musical,
2012-2013,Bring It On,AFRICAN AMERICAN,10,St. James Theatre,Musical,
2012-2013,Bring It On,LATINO,2,St. James Theatre,Musical,
2012-2013,Bring It On,ASIAN AMERICAN,1,St. James Theatre,Musical,
2012-2013,Bring It On,OTHER,0,St. James Theatre,Musical,
2012-2013,The Mystery of Edwin Drood,CAUCASIAN,23,Studio 54,Musical,
2012-2013,The Mystery of Edwin Drood,AFRICAN AMERICAN,0,Studio 54,Musical,
2012-2013,The Mystery of Edwin Drood,LATINO,1,Studio 54,Musical,
2012-2013,The Mystery of Edwin Drood,ASIAN AMERICAN,0,Studio 54,Musical,
2012-2013,The Mystery of Edwin Drood,OTHER,0,Studio 54,Musical,
2012-2013,Annie,CAUCASIAN,39,Palace Theatre,Musical,
2012-2013,Annie,AFRICAN AMERICAN,3,Palace Theatre,Musical,
2012-2013,Annie,LATINO,2,Palace Theatre,Musical,
2012-2013,Annie,ASIAN AMERICAN,3,Palace Theatre,Musical,
2012-2013,Annie,OTHER,0,Palace Theatre,Musical,
2012-2013,Hands on a Hardbody,CAUCASIAN,18,Brooks Atkinson Theater,Musical,
2012-2013,Hands on a Hardbody,AFRICAN AMERICAN,2,Brooks Atkinson Theater,Musical,
2012-2013,Hands on a Hardbody,LATINO,2,Brooks Atkinson Theater,Musical,
2012-2013,Hands on a Hardbody,ASIAN AMERICAN,1,Brooks Atkinson Theater,Musical,
2012-2013,Hands on a Hardbody,OTHER,0,Brooks Atkinson Theater,Musical,
2012-2013,Elf,CAUCASIAN,24,Al Hirschfeld Theatre,Musical,
2012-2013,Elf,AFRICAN AMERICAN,3,Al Hirschfeld Theatre,Musical,
2012-2013,Elf,LATINO,0,Al Hirschfeld Theatre,Musical,
2012-2013,Elf,ASIAN AMERICAN,1,Al Hirschfeld Theatre,Musical,
2012-2013,Elf,OTHER,0,Al Hirschfeld Theatre,Musical,
2012-2013,Kinky Boots,CAUCASIAN,38,Al Hirschfeld Theatre,Musical,
2012-2013,Kinky Boots,AFRICAN AMERICAN,10,Al Hirschfeld Theatre,Musical,
2012-2013,Kinky Boots,LATINO,1,Al Hirschfeld Theatre,Musical,
2012-2013,Kinky Boots,ASIAN AMERICAN,1,Al Hirschfeld Theatre,Musical,
2012-2013,Kinky Boots,OTHER,0,Al Hirschfeld Theatre,Musical,
2012-2013,Matilda,CAUCASIAN,30,Shubert Theatre,Musical,
2012-2013,Matilda,AFRICAN AMERICAN,4,Shubert Theatre,Musical,
2012-2013,Matilda,LATINO,1,Shubert Theatre,Musical,
2012-2013,Matilda,ASIAN AMERICAN,2,Shubert Theatre,Musical,
2012-2013,Matilda,OTHER,0,Shubert Theatre,Musical,
2012-2013,Cinderella,CAUCASIAN,24,The Broadway Theatre,Musical,
2012-2013,Cinderella,AFRICAN AMERICAN,3,The Broadway Theatre,Musical,
2012-2013,Cinderella,LATINO,0,The Broadway Theatre,Musical,
2012-2013,Cinderella,ASIAN AMERICAN,2,The Broadway Theatre,Musical,
2012-2013,Cinderella,OTHER,0,The Broadway Theatre,Musical,
2012-2013,Jekyll and Hyde,CAUCASIAN,19,Marquis Theatre,Musical,
2012-2013,Jekyll and Hyde,AFRICAN AMERICAN,4,Marquis Theatre,Musical,
2012-2013,Jekyll and Hyde,LATINO,0,Marquis Theatre,Musical,
2012-2013,Jekyll and Hyde,ASIAN AMERICAN,0,Marquis Theatre,Musical,
2012-2013,Jekyll and Hyde,OTHER,0,Marquis Theatre,Musical,
2012-2013,Motown,CAUCASIAN,7,Lunt Fontanne Theatre,Musical,
2012-2013,Motown,AFRICAN AMERICAN,35,Lunt Fontanne Theatre,Musical,
2012-2013,Motown,LATINO,0,Lunt Fontanne Theatre,Musical,
2012-2013,Motown,ASIAN AMERICAN,0,Lunt Fontanne Theatre,Musical,
2012-2013,Motown,OTHER,0,Lunt Fontanne Theatre,Musical,
2012-2013,Pippin,CAUCASIAN,22,Music Box Theatre,Musical,
2012-2013,Pippin,AFRICAN AMERICAN,3,Music Box Theatre,Musical,
2012-2013,Pippin,LATINO,0,Music Box Theatre,Musical,
2012-2013,Pippin,ASIAN AMERICAN,0,Music Box Theatre,Musical,
2012-2013,Pippin,OTHER,0,Music Box Theatre,Musical,
2012-2013,Cyrano de Bergerac,CAUCASIAN,17,American Airlines Theatre,Play,
2012-2013,Cyrano de Bergerac,AFRICAN AMERICAN,1,American Airlines Theatre,Play,
2012-2013,Cyrano de Bergerac,LATINO,0,American Airlines Theatre,Play,
2012-2013,Cyrano de Bergerac,ASIAN AMERICAN,0,American Airlines Theatre,Play,
2012-2013,Cyrano de Bergerac,OTHER,0,American Airlines Theatre,Play,
2012-2013,An Enemy of the People by Henrik,CAUCASIAN,14,Samuel J. Friedman Theater,Play,
2012-2013,An Enemy of the People by Henrik,AFRICAN AMERICAN,0,Samuel J. Friedman Theater,Play,
2012-2013,An Enemy of the People by Henrik,LATINO,0,Samuel J. Friedman Theater,Play,
2012-2013,An Enemy of the People by Henrik,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,
2012-2013,An Enemy of the People by Henrik,OTHER,0,Samuel J. Friedman Theater,Play,
2012-2013,The Performers,CAUCASIAN,8,Longacre Theatre,Play,
2012-2013,The Performers,AFRICAN AMERICAN,1,Longacre Theatre,Play,
2012-2013,The Performers,LATINO,0,Longacre Theatre,Play,
2012-2013,The Performers,ASIAN AMERICAN,0,Longacre Theatre,Play,
2012-2013,The Performers,OTHER,1,Longacre Theatre,Play,
2012-2013,Glengarry Glen Ross,CAUCASIAN,8,Gerald Schoenfeld Theatre,Play,
2012-2013,Glengarry Glen Ross,AFRICAN AMERICAN,0,Gerald Schoenfeld Theatre,Play,
2012-2013,Glengarry Glen Ross,LATINO,1,Gerald Schoenfeld Theatre,Play,
2012-2013,Glengarry Glen Ross,ASIAN AMERICAN,0,Gerald Schoenfeld Theatre,Play,
2012-2013,Glengarry Glen Ross,OTHER,0,Gerald Schoenfeld Theatre,Play,
2012-2013,Cat on a Hot Tin Roof,CAUCASIAN,18,Richard Rodgers Theatre,Play,
2012-2013,Cat on a Hot Tin Roof,AFRICAN AMERICAN,4,Richard Rodgers Theatre,Play,
2012-2013,Cat on a Hot Tin Roof,LATINO,0,Richard Rodgers Theatre,Play,
2012-2013,Cat on a Hot Tin Roof,ASIAN AMERICAN,0,Richard Rodgers Theatre,Play,
2012-2013,Cat on a Hot Tin Roof,OTHER,0,Richard Rodgers Theatre,Play,
2012-2013,Golden Boy,CAUCASIAN,19,Belasco Theatre (Lincoln Center),Play,
2012-2013,Golden Boy,AFRICAN AMERICAN,0,Belasco Theatre (Lincoln Center),Play,
2012-2013,Golden Boy,LATINO,2,Belasco Theatre (Lincoln Center),Play,
2012-2013,Golden Boy,ASIAN AMERICAN,0,Belasco Theatre (Lincoln Center),Play,
2012-2013,Golden Boy,OTHER,1,Belasco Theatre (Lincoln Center),Play,
2012-2013,The Nance,CAUCASIAN,12,Lyceum Theatre (Lincoln Center),Play,
2012-2013,The Nance,AFRICAN AMERICAN,0,Lyceum Theatre (Lincoln Center),Play,
2012-2013,The Nance,LATINO,1,Lyceum Theatre (Lincoln Center),Play,
2012-2013,The Nance,ASIAN AMERICAN,0,Lyceum Theatre (Lincoln Center),Play,
2012-2013,The Nance,OTHER,0,Lyceum Theatre (Lincoln Center),Play,
2012-2013,Breakfast at Tiffany's,CAUCASIAN,12,Cort Theatre,Play,
2012-2013,Breakfast at Tiffany's,AFRICAN AMERICAN,0,Cort Theatre,Play,
2012-2013,Breakfast at Tiffany's,LATINO,1,Cort Theatre,Play,
2012-2013,Breakfast at Tiffany's,ASIAN AMERICAN,2,Cort Theatre,Play,
2012-2013,Breakfast at Tiffany's,OTHER,0,Cort Theatre,Play,
2012-2013,Vanya & Sonia & Masha & Spike,CAUCASIAN,9,Golden Theatre,Play,
2012-2013,Vanya & Sonia & Masha & Spike,AFRICAN AMERICAN,2,Golden Theatre,Play,
2012-2013,Vanya & Sonia & Masha & Spike,LATINO,0,Golden Theatre,Play,
2012-2013,Vanya & Sonia & Masha & Spike,ASIAN AMERICAN,0,Golden Theatre,Play,
2012-2013,Vanya & Sonia & Masha & Spike,OTHER,0,Golden Theatre,Play,
2012-2013,The Trip to Bountiful,CAUCASIAN,0,Stephen Sondheim Theatre,Play,
2012-2013,The Trip to Bountiful,AFRICAN AMERICAN,10,Stephen Sondheim Theatre,Play,
2012-2013,The Trip to Bountiful,LATINO,0,Stephen Sondheim Theatre,Play,
2012-2013,The Trip to Bountiful,ASIAN AMERICAN,0,Stephen Sondheim Theatre,Play,
2012-2013,The Trip to Bountiful,OTHER,0,Stephen Sondheim Theatre,Play,
2012-2013,The Big Knife,CAUCASIAN,14,American Airlines Theatre,Play,
2012-2013,The Big Knife,AFRICAN AMERICAN,1,American Airlines Theatre,Play,
2012-2013,The Big Knife,LATINO,1,American Airlines Theatre,Play,
2012-2013,The Big Knife,ASIAN AMERICAN,0,American Airlines Theatre,Play,
2012-2013,The Big Knife,OTHER,0,American Airlines Theatre,Play,
2012-2013,Lucky Guy,CAUCASIAN,15,Broadhurst Theatre,Play,
2012-2013,Lucky Guy,AFRICAN AMERICAN,3,Broadhurst Theatre,Play,
2012-2013,Lucky Guy,LATINO,0,Broadhurst Theatre,Play,
2012-2013,Lucky Guy,ASIAN AMERICAN,0,Broadhurst Theatre,Play,
2012-2013,Lucky Guy,OTHER,0,Broadhurst Theatre,Play,
2012-2013,Harvey,CAUCASIAN,15,Studio 54,Play,
2012-2013,Harvey,AFRICAN AMERICAN,0,Studio 54,Play,
2012-2013,Harvey,LATINO,0,Studio 54,Play,
2012-2013,Harvey,ASIAN AMERICAN,0,Studio 54,Play,
2012-2013,Harvey,OTHER,0,Studio 54,Play,
2012-2013,The Anarchist,CAUCASIAN,3,Golden Theatre,Play,
2012-2013,The Anarchist,AFRICAN AMERICAN,0,Golden Theatre,Play,
2012-2013,The Anarchist,LATINO,0,Golden Theatre,Play,
2012-2013,The Anarchist,ASIAN AMERICAN,0,Golden Theatre,Play,
2012-2013,The Anarchist,OTHER,0,Golden Theatre,Play,
2012-2013,Dead Accounts,CAUCASIAN,8,The Music Box,Play,
2012-2013,Dead Accounts,AFRICAN AMERICAN,0,Walter Kerr Theatre,Play,
2012-2013,Dead Accounts,LATINO,0,Walter Kerr Theatre,Play,
2012-2013,Dead Accounts,ASIAN AMERICAN,0,Walter Kerr Theatre,Play,
2012-2013,Dead Accounts,OTHER,0,Walter Kerr Theatre,Play,
2012-2013,The Heiress,CAUCASIAN,11,Walter Kerr Theatre,Play,
2012-2013,The Heiress,AFRICAN AMERICAN,0,Walter Kerr Theatre,Play,
2012-2013,The Heiress,LATINO,0,Walter Kerr Theatre,Play,
2012-2013,The Heiress,ASIAN AMERICAN,0,Walter Kerr Theatre,Play,
2012-2013,The Heiress,OTHER,0,Walter Kerr Theatre,Play,
2012-2013,Who's Afraid of Virginia Woolf,CAUCASIAN,8,Booth Theatre,Play,
2012-2013,Who's Afraid of Virginia Woolf,AFRICAN AMERICAN,0,Booth Theatre,Play,
2012-2013,Who's Afraid of Virginia Woolf,LATINO,0,Booth Theatre,Play,
2012-2013,Who's Afraid of Virginia Woolf,ASIAN AMERICAN,0,Booth Theatre,Play,
2012-2013,Who's Afraid of Virginia Woolf,OTHER,0,Booth Theatre,Play,
2012-2013,Grace,CAUCASIAN,7,Cort Theatre,Play,
2012-2013,Grace,AFRICAN AMERICAN,0,Cort Theatre,Play,
2012-2013,Grace,LATINO,0,Cort Theatre,Play,
2012-2013,Grace,ASIAN AMERICAN,0,Cort Theatre,Play,
2012-2013,Grace,OTHER,0,Cort Theatre,Play,
2012-2013,Picnic,CAUCASIAN,15,American Airlines Theatre,Play,
2012-2013,Picnic,AFRICAN AMERICAN,0,American Airlines Theatre,Play,
2012-2013,Picnic,LATINO,0,American Airlines Theatre,Play,
2012-2013,Picnic,ASIAN AMERICAN,0,American Airlines Theatre,Play,
2012-2013,Picnic,OTHER,0,American Airlines Theatre,Play,
2012-2013,The Other Place by Sharr White,CAUCASIAN,4,Samuel J. Friedman Theater,Play,
2012-2013,The Other Place by Sharr White,AFRICAN AMERICAN,0,Samuel J. Friedman Theater,Play,
2012-2013,The Other Place by Sharr White,LATINO,0,Samuel J. Friedman Theater,Play,
2012-2013,The Other Place by Sharr White,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,
2012-2013,The Other Place by Sharr White,OTHER,0,Samuel J. Friedman Theater,Play,
2012-2013,Ann ,CAUCASIAN,1,The Vivian Beaumont,Play,
2012-2013,Ann ,AFRICAN AMERICAN,0,The Vivian Beaumont,Play,
2012-2013,Ann ,LATINO,0,The Vivian Beaumont,Play,
2012-2013,Ann ,ASIAN AMERICAN,0,The Vivian Beaumont,Play,
2012-2013,Ann ,OTHER,0,The Vivian Beaumont,Play,
2012-2013,The Testament of Mary,CAUCASIAN,1,Walter Kerr Theatre,Play,
2012-2013,The Testament of Mary,AFRICAN AMERICAN,0,Walter Kerr Theatre,Play,
2012-2013,The Testament of Mary,LATINO,0,Walter Kerr Theatre,Play,
2012-2013,The Testament of Mary,ASIAN AMERICAN,0,Walter Kerr Theatre,Play,
2012-2013,The Testament of Mary,OTHER,0,Walter Kerr Theatre,Play,
2012-2013,The Assembled Parties,CAUCASIAN,12,Samuel J. Friedman Theater,Play,
2012-2013,The Assembled Parties,AFRICAN AMERICAN,0,Samuel J. Friedman Theater,Play,
2012-2013,The Assembled Parties,LATINO,0,Samuel J. Friedman Theater,Play,
2012-2013,The Assembled Parties,ASIAN AMERICAN,0,Samuel J. Friedman Theater,Play,
2012-2013,The Assembled Parties,OTHER,0,Samuel J. Friedman Theater,Play,
2012-2013,Macbeth,CAUCASIAN,4,Ethel Barrymore Theatre,Play,
2012-2013,Macbeth,AFRICAN AMERICAN,0,Ethel Barrymore Theatre,Play,
2012-2013,Macbeth,LATINO,0,Ethel Barrymore Theatre,Play,
2012-2013,Macbeth,ASIAN AMERICAN,0,Ethel Barrymore Theatre,Play,
2012-2013,Macbeth,OTHER,0,Ethel Barrymore Theatre,Play,
2012-2013,Orphans,CAUCASIAN,6,Gerald Schoenfeld Theatre,Play,
2012-2013,Orphans,AFRICAN AMERICAN,0,Gerald Schoenfeld Theatre,Play,
2012-2013,Orphans,LATINO,0,Gerald Schoenfeld Theatre,Play,
2012-2013,Orphans,ASIAN AMERICAN,0,Gerald Schoenfeld Theatre,Play,
2012-2013,Orphans,OTHER,0,Gerald Schoenfeld Theatre,Play,
2012-2013,I'll Eat You Last,CAUCASIAN,1,Booth Theatre,Play,
2012-2013,I'll Eat You Last,AFRICAN AMERICAN,0,Booth Theatre,Play,
2012-2013,I'll Eat You Last,LATINO,0,Booth Theatre,Play,
2012-2013,I'll Eat You Last,ASIAN AMERICAN,0,Booth Theatre,Play,
2012-2013,I'll Eat You Last,OTHER,0,Booth Theatre,Play,
2014-2015,Holler If Ya Hear Me,CAUCASIAN,2,Palace Theatre,Musical,
2014-2015,Holler If Ya Hear Me,AFRICAN AMERICAN,25,Palace Theatre,Musical,
2014-2015,Holler If Ya Hear Me,LATINO,0,Palace Theatre,Musical,
2014-2015,Holler If Ya Hear Me,ASIAN AMERICAN,0,Palace Theatre,Musical,
2014-2015,Holler If Ya Hear Me,OTHER,0,Palace Theatre,Musical,
2014-2015,On The Town ,CAUCASIAN,27,Lyric Theatre ,Musical,
2014-2015,On The Town ,AFRICAN AMERICAN,3,Lyric Theatre ,Musical,
2014-2015,On The Town ,LATINO,0,Lyric Theatre ,Musical,
2014-2015,On The Town ,ASIAN AMERICAN,1,Lyric Theatre ,Musical,
2014-2015,On The Town ,OTHER,0,Lyric Theatre ,Musical,
2014-2015,Side Show,CAUCASIAN,25,St. James Theatre,Musical,
2014-2015,Side Show,AFRICAN AMERICAN,3,St. James Theatre,Musical,
2014-2015,Side Show,LATINO,1,St. James Theatre,Musical,
2014-2015,Side Show,ASIAN AMERICAN,1,St. James Theatre,Musical,
2014-2015,Side Show,OTHER,0,St. James Theatre,Musical,
2014-2015,Honeymoon In Vegas,CAUCASIAN,19,Nederlander Theatre ,Musical,
2014-2015,Honeymoon In Vegas,AFRICAN AMERICAN,1,Nederlander Theatre ,Musical,
2014-2015,Honeymoon In Vegas,LATINO,1,Nederlander Theatre ,Musical,
2014-2015,Honeymoon In Vegas,ASIAN AMERICAN,3,Nederlander Theatre ,Musical,
2014-2015,Honeymoon In Vegas,OTHER,0,Nederlander Theatre ,Musical,
2014-2015,Doctor Zhivago ,CAUCASIAN,29,The Broadway Theatre,Musical,
2014-2015,Doctor Zhivago ,AFRICAN AMERICAN,0,The Broadway Theatre,Musical,
2014-2015,Doctor Zhivago ,LATINO,0,The Broadway Theatre,Musical,
2014-2015,Doctor Zhivago ,ASIAN AMERICAN,3,The Broadway Theatre,Musical,
2014-2015,Doctor Zhivago ,OTHER,0,The Broadway Theatre,Musical,
2014-2015,The Visit,CAUCASIAN,21,Lyceum Theatre (Lincoln Center),Musical,
2014-2015,The Visit,AFRICAN AMERICAN,0,Lyceum Theatre (Lincoln Center),Musical,
2014-2015,The Visit,LATINO,1,Lyceum Theatre (Lincoln Center),Musical,
2014-2015,The Visit,ASIAN AMERICAN,0,Lyceum Theatre (Lincoln Center),Musical,
2014-2015,The Visit,OTHER,1,Lyceum Theatre (Lincoln Center),Musical,
2014-2015,It Shoulda Been You,CAUCASIAN,17,Brooks Atkinson Theater,Musical,
2014-2015,It Shoulda Been You,AFRICAN AMERICAN,1,Brooks Atkinson Theater,Musical,
2014-2015,It Shoulda Been You,LATINO,0,Brooks Atkinson Theater,Musical,
2014-2015,It Shoulda Been You,ASIAN AMERICAN,0,Brooks Atkinson Theater,Musical,
2014-2015,It Shoulda Been You,OTHER,0,Brooks Atkinson Theater,Musical,
2014-2015,Fun Home,CAUCASIAN,12,Circle In The Square,Musical,
2014-2015,Fun Home,AFRICAN AMERICAN,0,Circle In The Square,Musical,
2014-2015,Fun Home,LATINO,2,Circle In The Square,Musical,
2014-2015,Fun Home,ASIAN AMERICAN,0,Circle In The Square,Musical,
2014-2015,Fun Home,OTHER,0,Circle In The Square,Musical,
2014-2015,An American In Paris,CAUCASIAN,31,Palace Theatre,Musical,
2014-2015,An American In Paris,AFRICAN AMERICAN,2,Palace Theatre,Musical,
2014-2015,An American In Paris,LATINO,0,Palace Theatre,Musical,
2014-2015,An American In Paris,ASIAN AMERICAN,0,Palace Theatre,Musical,
2014-2015,An American In Paris,OTHER,0,Palace Theatre,Musical,
