year,show,ethnicity,actors,theater,type,non-profit
2013-2014,The Winslow Boy,African American,0,American Airlines Theatre,Play,1
2013-2014,The Winslow Boy,Latino,0,American Airlines Theatre,Play,1
2013-2014,The Winslow Boy,Asian American,0,American Airlines Theatre,Play,1
2013-2014,The Winslow Boy,Other,0,American Airlines Theatre,Play,1
2013-2014,Act One ,Caucasian,17,The Vivian Beaumont,Play,1
2013-2014,Act One ,African American,2,The Vivian Beaumont,Play,1
2013-2014,Act One ,Latino,1,The Vivian Beaumont,Play,1
2013-2014,Act One ,Asian American,0,The Vivian Beaumont,Play,1
2013-2014,Act One ,Other,1,The Vivian Beaumont,Play,1
2013-2014,Outside Mullingar ,Caucasian,4,Samuel J. Friedman Theater,Play,1
2013-2014,Outside Mullingar ,African American,0,Samuel J. Friedman Theater,Play,1
2013-2014,Outside Mullingar ,Latino,0,Samuel J. Friedman Theater,Play,1
2013-2014,Outside Mullingar ,Asian American,0,Samuel J. Friedman Theater,Play,1
2013-2014,Outside Mullingar ,Other,0,Samuel J. Friedman Theater,Play,1
2013-2014,The Snow Geese,Caucasian,7,Samuel J. Friedman Theater,Play,1
2013-2014,The Snow Geese,African American,0,Samuel J. Friedman Theater,Play,1
2013-2014,The Snow Geese,Latino,0,Samuel J. Friedman Theater,Play,1
2013-2014,The Snow Geese,Asian American,0,Samuel J. Friedman Theater,Play,1
2013-2014,The Snow Geese,Other,0,Samuel J. Friedman Theater,Play,1
2013-2014,Machinal ,Caucasian,16,American Airlines Theatre,Play,1
2013-2014,Machinal ,African American,1,American Airlines Theatre,Play,1
2013-2014,Machinal ,Latino,1,American Airlines Theatre,Play,1
2013-2014,Machinal ,Asian American,0,American Airlines Theatre,Play,1
2013-2014,Machinal ,Other,0,American Airlines Theatre,Play,1
2013-2014,Casa Valentina,Caucasian,9,Samuel J. Friedman Theater,Play,1
2013-2014,Casa Valentina,African American,0,Samuel J. Friedman Theater,Play,1
2013-2014,Casa Valentina,Latino,0,Samuel J. Friedman Theater,Play,1
2013-2014,Casa Valentina,Asian American,0,Samuel J. Friedman Theater,Play,1
2013-2014,Casa Valentina,Other,0,Samuel J. Friedman Theater,Play,1
2013-2014,The Realistic Joneses,Caucasian,6,Lyceum Theatre (Lincoln Center),Play,
2013-2014,The Realistic Joneses,African American,0,Lyceum Theatre (Lincoln Center),Play,
2013-2014,The Realistic Joneses,Latino,0,Lyceum Theatre (Lincoln Center),Play,
2013-2014,The Realistic Joneses,Asian American,0,Lyceum Theatre (Lincoln Center),Play,
2013-2014,The Realistic Joneses,Other,0,Lyceum Theatre (Lincoln Center),Play,
2013-2014,First Date,Caucasian,10,Longacre Theatre,Musical,
2013-2014,First Date,African American,0,Longacre Theatre,Musical,
2013-2014,First Date,Latino,1,Longacre Theatre,Musical,
2013-2014,First Date,Asian American,0,Longacre Theatre,Musical,
2013-2014,First Date,Other,0,Longacre Theatre,Musical,
2013-2014,Soul Doctor ,Caucasian,19,Circle In The Square,Musical,
2013-2014,Soul Doctor ,African American,4,Circle In The Square,Musical,
2013-2014,Soul Doctor ,Latino,0,Circle In The Square,Musical,
2013-2014,Soul Doctor ,Asian American,0,Circle In The Square,Musical,
2013-2014,Soul Doctor ,Other,0,Circle In The Square,Musical,
2013-2014,A Night With Janis Joplin,Caucasian,3,Lyceum Theatre (Lincoln Center),Musical,
2013-2014,A Night With Janis Joplin,African American,5,Lyceum Theatre (Lincoln Center),Musical,
2013-2014,A Night With Janis Joplin,Latino,0,Lyceum Theatre (Lincoln Center),Musical,
2013-2014,A Night With Janis Joplin,Asian American,0,Lyceum Theatre (Lincoln Center),Musical,
2013-2014,A Night With Janis Joplin,Other,0,Lyceum Theatre (Lincoln Center),Musical,
2013-2014,Big Fish,Caucasian,23,Neil Simon Theatre,Musical,
2013-2014,Big Fish,African American,3,Neil Simon Theatre,Musical,
2013-2014,Big Fish,Latino,0,Neil Simon Theatre,Musical,
2013-2014,Big Fish,Asian American,0,Neil Simon Theatre,Musical,
2013-2014,Big Fish,Other,1,Neil Simon Theatre,Musical,
2013-2014,After Midnight,Caucasian,0,Brooks Atkinson Theater,Musical,
2013-2014,After Midnight,African American,29,Brooks Atkinson Theater,Musical,
2013-2014,After Midnight,Latino,0,Brooks Atkinson Theater,Musical,
2013-2014,After Midnight,Asian American,0,Brooks Atkinson Theater,Musical,
2013-2014,After Midnight,Other,0,Brooks Atkinson Theater,Musical,
2013-2014,Rocky,Caucasian,21,Winter Garden Theatre,Musical,
2013-2014,Rocky,African American,9,Winter Garden Theatre,Musical,
2013-2014,Rocky,Latino,1,Winter Garden Theatre,Musical,
2013-2014,Rocky,Asian American,0,Winter Garden Theatre,Musical,
2013-2014,Rocky,Other,0,Winter Garden Theatre,Musical,
2013-2014,Aladdin,Caucasian,16,New Amsterdam Theatre,Musical,
2013-2014,Aladdin,African American,10,New Amsterdam Theatre,Musical,
2013-2014,Aladdin,Latino,2,New Amsterdam Theatre,Musical,
2013-2014,Aladdin,Asian American,7,New Amsterdam Theatre,Musical,
2013-2014,Aladdin,Other,0,New Amsterdam Theatre,Musical,
2013-2014,Beautiful,Caucasian,10,Pantages Theatre,Musical,
2013-2014,Beautiful,African American,8,Pantages Theatre,Musical,
2013-2014,Beautiful,Latino,0,Pantages Theatre,Musical,
2013-2014,Beautiful,Asian American,0,Pantages Theatre,Musical,
2013-2014,Beautiful,Other,0,Pantages Theatre,Musical,
2013-2014,If/Then,Caucasian,11,Richard Rodgers Theatre,Musical,
2013-2014,If/Then,African American,5,Richard Rodgers Theatre,Musical,
2013-2014,If/Then,Latino,1,Richard Rodgers Theatre,Musical,
2013-2014,If/Then,Asian American,4,Richard Rodgers Theatre,Musical,
2013-2014,If/Then,Other,0,Richard Rodgers Theatre,Musical,
2013-2014,Bullets Over Broadway,Caucasian,32,St. James Theatre,Musical,
2013-2014,Bullets Over Broadway,African American,1,St. James Theatre,Musical,
2013-2014,Bullets Over Broadway,Latino,0,St. James Theatre,Musical,
2013-2014,Bullets Over Broadway,Asian American,0,St. James Theatre,Musical,
2013-2014,Bullets Over Broadway,Other,0,St. James Theatre,Musical,
2013-2014,Violet,Caucasian,11,American Airlines Theatre,Musical,1
2013-2014,Violet,African American,5,American Airlines Theatre,Musical,1
2013-2014,Violet,Latino,0,American Airlines Theatre,Musical,1
2013-2014,Violet,Asian American,0,American Airlines Theatre,Musical,1
2013-2014,Violet,Other,0,American Airlines Theatre,Musical,1
2013-2014,Les Miserables,Caucasian,30,Imperial Theatre,Musical,
2013-2014,Les Miserables,African American,5,Imperial Theatre,Musical,
2013-2014,Les Miserables,Latino,0,Imperial Theatre,Musical,
2013-2014,Les Miserables,Asian American,1,Imperial Theatre,Musical,
2013-2014,Les Miserables,Other,2,Imperial Theatre,Musical,
2013-2014,Hedwig And The Angry Inch,Caucasian,6,Belasco Theatre (Lincoln Center),Musical,
2013-2014,Hedwig And The Angry Inch,African American,0,Belasco Theatre (Lincoln Center),Musical,
2013-2014,Hedwig And The Angry Inch,Latino,0,Belasco Theatre (Lincoln Center),Musical,
2013-2014,Hedwig And The Angry Inch,Asian American,0,Belasco Theatre (Lincoln Center),Musical,
2013-2014,Hedwig And The Angry Inch,Other,0,Belasco Theatre (Lincoln Center),Musical,
2013-2014,Cabaret,Caucasian,22,Studio 54,Musical,1
2013-2014,Cabaret,African American,0,Studio 54,Musical,1
2013-2014,Cabaret,Latino,0,Studio 54,Musical,1
2013-2014,Cabaret,Asian American,0,Studio 54,Musical,1
2013-2014,Cabaret,Other,0,Studio 54,Musical,1
2013-2014,A Gentleman's Guide To Love And Murder,Caucasian,13,Walter Kerr Theatre,Musical,
2013-2014,A Gentleman's Guide To Love And Murder,African American,0,Walter Kerr Theatre,Musical,
2013-2014,A Gentleman's Guide To Love And Murder,Latino,0,Walter Kerr Theatre,Musical,
2013-2014,A Gentleman's Guide To Love And Murder,Asian American,0,Walter Kerr Theatre,Musical,
2013-2014,A Gentleman's Guide To Love And Murder,Other,0,Walter Kerr Theatre,Musical,
2013-2014,Bridges Of Madison County,Caucasian,18,Gerald Schoenfeld Theatre,Musical,
2013-2014,Bridges Of Madison County,African American,0,Gerald Schoenfeld Theatre,Musical,
2013-2014,Bridges Of Madison County,Latino,0,Gerald Schoenfeld Theatre,Musical,
2013-2014,Bridges Of Madison County,Asian American,0,Gerald Schoenfeld Theatre,Musical,
2013-2014,Bridges Of Madison County,Other,0,Gerald Schoenfeld Theatre,Musical,
2014-2015,Holler If Ya Hear Me,Caucasian,2,Palace Theatre,Musical,
2014-2015,Holler If Ya Hear Me,African American,25,Palace Theatre,Musical,
2014-2015,Holler If Ya Hear Me,Latino,0,Palace Theatre,Musical,
2014-2015,Holler If Ya Hear Me,Asian American,0,Palace Theatre,Musical,
2014-2015,Holler If Ya Hear Me,Other,0,Palace Theatre,Musical,
2014-2015,On The Town ,Caucasian,27,Lyric Theatre ,Musical,
2014-2015,On The Town ,African American,3,Lyric Theatre ,Musical,
2014-2015,On The Town ,Latino,0,Lyric Theatre ,Musical,
2014-2015,On The Town ,Asian American,1,Lyric Theatre ,Musical,
2014-2015,On The Town ,Other,0,Lyric Theatre ,Musical,
2014-2015,Side show,Caucasian,25,St. James Theatre,Musical,
2014-2015,Side show,African American,3,St. James Theatre,Musical,
2014-2015,Side show,Latino,1,St. James Theatre,Musical,
2014-2015,Side show,Asian American,1,St. James Theatre,Musical,
2014-2015,Side show,Other,0,St. James Theatre,Musical,
2014-2015,Honeymoon In Vegas,Caucasian,19,Nederlander Theatre ,Musical,
2014-2015,Honeymoon In Vegas,African American,1,Nederlander Theatre ,Musical,
2014-2015,Honeymoon In Vegas,Latino,1,Nederlander Theatre ,Musical,
2014-2015,Honeymoon In Vegas,Asian American,3,Nederlander Theatre ,Musical,
2014-2015,Honeymoon In Vegas,Other,0,Nederlander Theatre ,Musical,
2014-2015,Doctor Zhivago ,Caucasian,29,The Broadway Theatre,Musical,
2014-2015,Doctor Zhivago ,African American,0,The Broadway Theatre,Musical,
2014-2015,Doctor Zhivago ,Latino,0,The Broadway Theatre,Musical,
2014-2015,Doctor Zhivago ,Asian American,3,The Broadway Theatre,Musical,
2014-2015,Doctor Zhivago ,Other,0,The Broadway Theatre,Musical,
2014-2015,The Visit,Caucasian,21,Lyceum Theatre (Lincoln Center),Musical,
2014-2015,The Visit,African American,0,Lyceum Theatre (Lincoln Center),Musical,
2014-2015,The Visit,Latino,1,Lyceum Theatre (Lincoln Center),Musical,
2014-2015,The Visit,Asian American,0,Lyceum Theatre (Lincoln Center),Musical,
2014-2015,The Visit,Other,1,Lyceum Theatre (Lincoln Center),Musical,
2014-2015,It Shoulda Been You,Caucasian,17,Brooks Atkinson Theater,Musical,
2014-2015,It Shoulda Been You,African American,1,Brooks Atkinson Theater,Musical,
2014-2015,It Shoulda Been You,Latino,0,Brooks Atkinson Theater,Musical,
2014-2015,It Shoulda Been You,Asian American,0,Brooks Atkinson Theater,Musical,
2014-2015,It Shoulda Been You,Other,0,Brooks Atkinson Theater,Musical,
2014-2015,Fun Home,Caucasian,12,Circle In The Square,Musical,
2014-2015,Fun Home,African American,0,Circle In The Square,Musical,
2014-2015,Fun Home,Latino,2,Circle In The Square,Musical,
2014-2015,Fun Home,Asian American,0,Circle In The Square,Musical,
2014-2015,Fun Home,Other,0,Circle In The Square,Musical,
2014-2015,An American In Paris,Caucasian,31,Palace Theatre,Musical,
2014-2015,An American In Paris,African American,2,Palace Theatre,Musical,
2014-2015,An American In Paris,Latino,0,Palace Theatre,Musical,
2014-2015,An American In Paris,Asian American,0,Palace Theatre,Musical,
2014-2015,An American In Paris,Other,0,Palace Theatre,Musical,
2014-2015,Something Rotten!,Caucasian,27,St. James Theatre,Musical,
2014-2015,Something Rotten!,African American,2,St. James Theatre,Musical,
2014-2015,Something Rotten!,Latino,0,St. James Theatre,Musical,
2014-2015,Something Rotten!,Asian American,0,St. James Theatre,Musical,
2014-2015,Something Rotten!,Other,0,St. James Theatre,Musical,
2014-2015,Gigi,Caucasian,18,Neil Simon Theatre,Musical,
2014-2015,Gigi,African American,1,Neil Simon Theatre,Musical,
2014-2015,Gigi,Latino,1,Neil Simon Theatre,Musical,
2014-2015,Gigi,Asian American,2,Neil Simon Theatre,Musical,
2014-2015,Gigi,Other,0,Neil Simon Theatre,Musical,
2014-2015,Finding Neverland,Caucasian,29,Lunt Fontanne Theatre,Musical,
2014-2015,Finding Neverland,African American,0,Lunt Fontanne Theatre,Musical,
2014-2015,Finding Neverland,Latino,1,Lunt Fontanne Theatre,Musical,
2014-2015,Finding Neverland,Asian American,0,Lunt Fontanne Theatre,Musical,
2014-2015,Finding Neverland,Other,0,Lunt Fontanne Theatre,Musical,
2014-2015,The King And I,Caucasian,7,The Vivian Beaumont,Musical,1
2014-2015,The King And I,African American,0,The Vivian Beaumont,Musical,1
2014-2015,The King And I,Latino,0,The Vivian Beaumont,Musical,1
2014-2015,The King And I,Asian American,62,The Vivian Beaumont,Musical,1
2014-2015,The King And I,Other,0,The Vivian Beaumont,Musical,1
2014-2015,The Last Ship,Caucasian,29,Neil Simon Theatre,Musical,
2014-2015,The Last Ship,African American,0,Neil Simon Theatre,Musical,
2014-2015,The Last Ship,Latino,0,Neil Simon Theatre,Musical,
2014-2015,The Last Ship,Asian American,0,Neil Simon Theatre,Musical,
2014-2015,The Last Ship,Other,0,Neil Simon Theatre,Musical,
2014-2015,It's Only A Play,Caucasian,10,Gerald Schoenfeld Theatre,Play,
2014-2015,It's Only A Play,African American,0,Gerald Schoenfeld Theatre,Play,
2014-2015,It's Only A Play,Latino,0,Gerald Schoenfeld Theatre,Play,
2014-2015,It's Only A Play,Asian American,0,Gerald Schoenfeld Theatre,Play,
2014-2015,It's Only A Play,Other,0,Gerald Schoenfeld Theatre,Play,
2014-2015,You Can't Take It With You,Caucasian,19,Longacre Theatre,Play,
2014-2015,You Can't Take It With You,African American,6,Longacre Theatre,Play,
2014-2015,You Can't Take It With You,Latino,0,Longacre Theatre,Play,
2014-2015,You Can't Take It With You,Asian American,0,Longacre Theatre,Play,
2014-2015,You Can't Take It With You,Other,0,Longacre Theatre,Play,
2014-2015,The River ,Caucasian,3,Circle In The Square,Play,
2014-2015,The River ,African American,2,Circle In The Square,Play,
2014-2015,The River ,Latino,0,Circle In The Square,Play,
2014-2015,The River ,Asian American,0,Circle In The Square,Play,
2014-2015,The River ,Other,0,Circle In The Square,Play,
2014-2015,Curious Incident Of The Dog In The Night Time,Caucasian,0,Ethel Barrymore Theatre,Play,
2014-2015,Curious Incident Of The Dog In The Night Time,African American,2,Ethel Barrymore Theatre,Play,
2014-2015,Curious Incident Of The Dog In The Night Time,Latino,2,Ethel Barrymore Theatre,Play,
2014-2015,Curious Incident Of The Dog In The Night Time,Asian American,0,Ethel Barrymore Theatre,Play,
2014-2015,Curious Incident Of The Dog In The Night Time,Other,0,Ethel Barrymore Theatre,Play,
2014-2015,The Heidi Chronicles,Caucasian,10,The Music Box,Play,
2014-2015,The Heidi Chronicles,African American,0,The Music Box,Play,
2014-2015,The Heidi Chronicles,Latino,0,The Music Box,Play,
2014-2015,The Heidi Chronicles,Asian American,1,The Music Box,Play,
2014-2015,The Heidi Chronicles,Other,0,The Music Box,Play,
2014-2015,Fish In The Dark,Caucasian,24,Cort Theatre,Play,
2014-2015,Fish In The Dark,African American,0,Cort Theatre,Play,
2014-2015,Fish In The Dark,Latino,5,Cort Theatre,Play,
2014-2015,Fish In The Dark,Asian American,0,Cort Theatre,Play,
2014-2015,Fish In The Dark,Other,0,Cort Theatre,Play,
2014-2015,This Is Our Youth,Caucasian,5,Cort Theatre,Play,
2014-2015,This Is Our Youth,African American,0,Cort Theatre,Play,
2014-2015,This Is Our Youth,Latino,0,Cort Theatre,Play,
2014-2015,This Is Our Youth,Asian American,0,Cort Theatre,Play,
2014-2015,This Is Our Youth,Other,0,Cort Theatre,Play,
2014-2015,A Delicate Balance,Caucasian,11,Golden Theatre,Play,
2014-2015,A Delicate Balance,African American,0,Golden Theatre,Play,
2014-2015,A Delicate Balance,Latino,0,Golden Theatre,Play,
2014-2015,A Delicate Balance,Asian American,0,Golden Theatre,Play,
2014-2015,A Delicate Balance,Other,0,Golden Theatre,Play,
2014-2015,The Elephant Man,Caucasian,15,Booth Theatre,Play,
2014-2015,The Elephant Man,African American,0,Booth Theatre,Play,
2014-2015,The Elephant Man,Latino,0,Booth Theatre,Play,
2014-2015,The Elephant Man,Asian American,0,Booth Theatre,Play,
2014-2015,The Elephant Man,Other,0,Booth Theatre,Play,
2014-2015,The Audience,Caucasian,18,Gerald Schoenfeld Theatre,Play,
2014-2015,The Audience,African American,0,Gerald Schoenfeld Theatre,Play,
2014-2015,The Audience,Latino,0,Gerald Schoenfeld Theatre,Play,
2014-2015,The Audience,Asian American,0,Gerald Schoenfeld Theatre,Play,
2014-2015,The Audience,Other,0,Gerald Schoenfeld Theatre,Play,
2014-2015,Hand To God,Caucasian,9,Booth Theatre,Play,
2014-2015,Hand To God,African American,0,Booth Theatre,Play,
2014-2015,Hand To God,Latino,0,Booth Theatre,Play,
2014-2015,Hand To God,Asian American,0,Booth Theatre,Play,
2014-2015,Hand To God,Other,0,Booth Theatre,Play,
2014-2015,Living On Love,Caucasian,10,Longacre Theatre,Play,
2014-2015,Living On Love,African American,0,Longacre Theatre,Play,
2014-2015,Living On Love,Latino,0,Longacre Theatre,Play,
2014-2015,Living On Love,Asian American,0,Longacre Theatre,Play,
2014-2015,Living On Love,Other,0,Longacre Theatre,Play,
2014-2015,Wolf Hall,Caucasian,23,Winter Garden Theatre,Play,
2014-2015,Wolf Hall,African American,0,Winter Garden Theatre,Play,
2014-2015,Wolf Hall,Latino,0,Winter Garden Theatre,Play,
2014-2015,Wolf Hall,Asian American,0,Winter Garden Theatre,Play,
2014-2015,Wolf Hall,Other,0,Winter Garden Theatre,Play,
2014-2015,Skylight,Caucasian,6,Golden Theatre,Play,
2014-2015,Skylight,African American,0,Golden Theatre,Play,
2014-2015,Skylight,Latino,0,Golden Theatre,Play,
2014-2015,Skylight,Asian American,0,Golden Theatre,Play,
2014-2015,Skylight,Other,0,Golden Theatre,Play,
2014-2015,The Country House,Caucasian,5,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,African American,1,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,Latino,0,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,Asian American,0,Samuel J. Friedman Theater,Play,1
2014-2015,The Country House,Other,0,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,Caucasian,11,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,African American,5,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,Latino,0,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,Asian American,0,Samuel J. Friedman Theater,Play,1
2014-2015,Airline Highway,Other,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,Caucasian,2,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,African American,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,Latino,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,Asian American,0,Samuel J. Friedman Theater,Play,1
2014-2015,Constellations,Other,0,Samuel J. Friedman Theater,Play,1
2014-2015,The Real Thing,Caucasian,11,American Airlines Theatre,Play,1
2014-2015,The Real Thing,African American,0,American Airlines Theatre,Play,1
2014-2015,The Real Thing,Latino,0,American Airlines Theatre,Play,1
2014-2015,The Real Thing,Asian American,0,American Airlines Theatre,Play,1
2014-2015,The Real Thing,Other,0,American Airlines Theatre,Play,1
2014-2015,Disgraced,Caucasian,4,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,African American,2,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,Latino,0,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,Asian American,2,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Disgraced,Other,1,Lyceum Theatre (Lincoln Center),Play,1
2014-2015,Love Letters,Caucasian,6,Brooks Atkinson Theater,Play,
2014-2015,Love Letters,African American,0,Brooks Atkinson Theater,Play,
2014-2015,Love Letters,Latino,0,Brooks Atkinson Theater,Play,
2014-2015,Love Letters,Asian American,0,Brooks Atkinson Theater,Play,
2014-2015,Love Letters,Other,0,Brooks Atkinson Theater,Play,
